Изборна единица,Општина,Избирачко место,Подносител на листа,Освоени гласови
1,АЕРОДРОМ,2683/1,ВМРО - ДПМНЕ и други,132
1,АЕРОДРОМ,2683/1,ТВОЈА,1
1,АЕРОДРОМ,2684,ДПА,0
1,АЕРОДРОМ,2684,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2684,КОАЛИЦИЈА МОЖЕМЕ,131
1,АЕРОДРОМ,2684,ЛЕВИЦА,63
1,АЕРОДРОМ,2684,АА / A,0
1,АЕРОДРОМ,2684,ГЛАС ЗА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2684,ГДУ,2
1,АЕРОДРОМ,2684,ИНТЕГРА,9
1,АЕРОДРОМ,2684,ДУИ,2
1,АЕРОДРОМ,2684,СДУ,2
1,АЕРОДРОМ,2684,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2684,МОРО,0
1,АЕРОДРОМ,2684,ВМРО - ДПМНЕ и други,146
1,АЕРОДРОМ,2684,ТВОЈА,4
1,АЕРОДРОМ,2684/1,ДПА,0
1,АЕРОДРОМ,2684/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2684/1,КОАЛИЦИЈА МОЖЕМЕ,174
1,АЕРОДРОМ,2684/1,ЛЕВИЦА,32
1,АЕРОДРОМ,2684/1,АА / A,1
1,АЕРОДРОМ,2684/1,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2684/1,ГДУ,3
1,АЕРОДРОМ,2684/1,ИНТЕГРА,6
1,АЕРОДРОМ,2684/1,ДУИ,0
1,АЕРОДРОМ,2684/1,СДУ,6
1,АЕРОДРОМ,2684/1,ЕДИНСТВЕНА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2684/1,МОРО,2
1,АЕРОДРОМ,2684/1,ВМРО - ДПМНЕ и други,180
1,АЕРОДРОМ,2684/1,ТВОЈА,1
1,АЕРОДРОМ,2685,ДПА,0
1,АЕРОДРОМ,2685,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2685,КОАЛИЦИЈА МОЖЕМЕ,100
1,АЕРОДРОМ,2685,ЛЕВИЦА,40
1,АЕРОДРОМ,2685,АА / A,0
1,АЕРОДРОМ,2685,ГЛАС ЗА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2685,ГДУ,0
1,АЕРОДРОМ,2685,ИНТЕГРА,9
1,АЕРОДРОМ,2685,ДУИ,0
1,АЕРОДРОМ,2685,СДУ,1
1,АЕРОДРОМ,2685,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2685,МОРО,1
1,АЕРОДРОМ,2685,ВМРО - ДПМНЕ и други,164
1,АЕРОДРОМ,2685,ТВОЈА,5
1,АЕРОДРОМ,2686,ДПА,0
1,АЕРОДРОМ,2686,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2686,КОАЛИЦИЈА МОЖЕМЕ,148
1,АЕРОДРОМ,2686,ЛЕВИЦА,43
1,АЕРОДРОМ,2686,АА / A,1
